"","DS","Pmm","TxC","TnC","Date","MaxT_C","MinT_C","Precip_mm","Rain_mm","SnowfallWatEq_mm","SnowMelt_mm","NewSnow_m","SnowDepth_m","SnowWaterEq_mm","SnowTemp","Albedo","NetEnergy","S","La","Lt","H","E","AE","cloudiness"
"1",2006-10-01,0.762,12.7777777777778,6.11111111111111,2006-10-01,12.7777777777778,6.11111111111111,0.762,0.762,0,0,0,0,0,0,0.25,19336.5433686642,9370.21216934258,27748.3995763705,25917.3737217928,5466.09484475908,2465.98449998478,0.887876904226444,0.617054289145354
"2",2006-10-02,0.254,17.7777777777778,5,2006-10-02,17.7777777777778,5,0.254,0.254,0,0,0,0,0,0,0.25,19805.594506266,11770.2176777357,25216.5616765753,25917.3737217928,6591.46731279771,1959.5718942834,0.785045702737206,0.0432374575311975
"3",2006-10-03,0,18.3333333333333,6.11111111111111,2006-10-03,18.3333333333333,6.11111111111111,0,0,0,0,0,0,0,0,0.25,21110.022563069,11566.2567067427,25748.3852790343,25917.3737217928,7073.76979909998,2465.98449998478,0.792285083600431,0.060772149144237
"4",2006-10-04,3.81,20,9.44444444444444,2006-10-04,20,9.44444444444444,3.81,3.81,0,0,0,0,0,0,0.25,25868.8971866474,11119.3501174419,27576.0769395614,25917.3737217928,8520.6772580068,4161.58159343005,0.81944467164352,0.149011116318451
"5",2006-10-05,13.462,18.8888888888889,6.11111111111111,2006-10-05,18.8888888888889,6.11111111111111,13.462,13.462,0,0,0,0,0,0,0.25,21805.238402428,11355.1224951416,25787.2128345603,25917.3737217928,7234.53729453407,2465.98449998478,0.79039948349095,0.0432374575311975
"6",2006-10-06,0,12.7777777777778,1.11111111111111,2006-10-06,12.7777777777778,1.11111111111111,0,0,0,0,0,0,0,0,0.25,13027.9992903246,11076.2193768543,23283.5517390129,25917.3737217928,4019.18738585226,393.41451039787,0.771955601248319,0.0836436451679193
"7",2006-10-07,0,14.4444444444444,-1.66666666666667,2006-10-07,14.4444444444444,-1.66666666666667,0,0,0,0,0,0,0,0,0.25,11129.801728522,11203.0334504842,22522.7161402745,25917.3737217928,3697.65239498408,-549.226535428016,0.752681167132315,0.00353570318926888
"8",2006-10-08,0,16.6666666666667,0.555555555555556,2006-10-08,16.6666666666667,0.555555555555556,0,0,0,0,0,0,0,0,0.25,14089.088060895,11066.5274206376,23589.2499125157,25917.3737217928,4983.79235845681,193.892091077625,0.763759278346993,0.00353570318926888
"9",2006-10-09,0,23.3333333333333,3.88888888888889,2006-10-09,23.3333333333333,3.88888888888889,0,0,0,0,0,0,0,0,0.25,20486.2916097893,10759.0481327256,26113.6374376917,25917.3737217928,7877.60727627044,1480.37248489439,0.788077705380199,0.000124413918611843
"10",2006-10-10,0,23.3333333333333,5.55555555555556,2006-10-10,23.3333333333333,5.55555555555556,0,0,0,0,0,0,0,0,0.25,22128.5363524075,10742.087788372,26561.615158574,25917.3737217928,8359.90976257271,2209.2973646815,0.792351403549981,0.000740152756449675
"11",2006-10-11,0,17.7777777777778,7.22222222222222,2006-10-11,17.7777777777778,7.22222222222222,0,0,0,0,0,0,0,0,0.25,21114.2179907253,10205.4632640189,26417.6964885432,25917.3737217928,7234.53729453407,3000.8946654219,0.809724330951381,0.149011116318451
"12",2006-10-12,3.302,16.6666666666667,11.6666666666667,2006-10-12,16.6666666666667,11.6666666666667,3.302,3.302,0,0,0,0,0,0,0.25,26018.2190446251,6357.69436670387,31556.4177025661,25917.3737217928,8199.14226713862,5452.86943000936,0.944993593879456,0.877406149949477
"13",2006-10-13,0.254,15,-2.22222222222222,2006-10-13,15,-2.22222222222222,0.254,0.254,0,0,0,0,0,0,0.25,10118.1078080568,10371.2986201399,22508.6317301804,25917.3737217928,3697.65239498408,-721.916882121488,0.752210483660483,0.00127678395155151
