"","DS","Pmm","TxC","TnC","Date","MaxT_C","MinT_C","Precip_mm","Rain_mm","SnowfallWatEq_mm","SnowMelt_mm","NewSnow_m","SnowDepth_m","SnowWaterEq_mm","SnowTemp","Albedo","NetEnergy","S","La","Lt","H","E","AE","cloudiness"
"1","2009-04-22",4.318,17.78,3.89,"2009-04-22",17.78,3.89,4.318,4.318,0,0,0,0,0,0,0.25,26314.8179256546,18340.1485818588,25770.8084054138,25917.3737217928,6270.89692690214,1480.8385072726,0.808574885361238,0.181345043629645
"2","2009-04-23",3.302,10.56,1.67,"2009-04-23",10.56,1.67,3.302,3.302,0,0,0,0,0,0,0.25,21691.9652030196,16812.1370892045,26400.3071482006,25917.3737217928,3539.13564448607,599.9537769212,0.885729792527263,0.645077929367369
"3","2009-04-24",0.254,10,-2.22,"2009-04-24",10,-2.22,0.254,0.254,0,0,0,0,0,0,0.25,17376.9868304042,18330.684543329,23256.3742800205,25917.3737217928,2251.388006059,-721.236129211446,0.805606413858913,0.302274555925253
"4","2009-04-25",0,24.44,-1.11,"2009-04-25",24.44,-1.11,0,0,0,0,0,0,0,0,0.25,22550.432869913,16814.9878303159,25099.6163963018,25917.3737217928,6751.2702032592,-371.067838171062,0.778380837379357,0.000299867241065122
"5","2009-04-26",0,30.56,11.11,"2009-04-26",30.56,11.11,0,0,0,0,0,0,0,0,0.25,40247.7069653587,18562.3544310758,30254.7030226035,25917.3737217928,12058.5267625294,5116.49647094281,0.826603448664837,0.016442544093744
"6","2009-04-27",0,28.33,10,"2009-04-27",28.33,10,0,0,0,0,0,0,0,0,0.25,37987.7188225706,18818.9178133111,29349.4788403392,25917.3737217928,11091.9925799796,4471.70331073341,0.820343862007707,0.0292091631775345
"7","2009-04-28",0,32.78,14.44,"2009-04-28",32.78,14.44,0,0,0,0,0,0,0,0,0.25,46109.6738721722,18925.520850498,31997.9636837886,25917.3737217928,13664.594041916,7265.96901776239,0.842004053217516,0.0290657993907321
"8","2009-04-29",2.032,28.89,1.67,"2009-04-29",28.89,1.67,2.032,2.032,0,0,0,0,0,0,0.25,27325.8820144504,16487.1713554599,27009.2265830236,25917.3737217928,8843.49838883845,599.9537769212,0.796413059236941,7.63590896083466e-05
"9","2009-04-30",0,17.78,2.78,"2009-04-30",17.78,2.78,0,0,0,0,0,0,0,0,0.25,25661.5052621792,19289.021854537,25139.1444883836,25917.3737217928,5949.68347102482,1028.02917002658,0.794948954081189,0.12263547307206
"10","2009-05-01",1.778,17.22,10.56,"2009-05-01",17.22,10.56,1.778,1.778,0,0,0,0,0,0,0.25,33818.7754249891,15083.6907747291,31543.9667516818,25917.3737217928,8039.01784168626,4792.74881468476,0.948266029270196,0.897965811028917
"11","2009-05-02",10.668,23.33,4.44,"2009-05-02",23.33,4.44,10.668,10.668,0,0,0,0,0,0,0.25,30287.4586559176,19270.83108597,26388.0188823091,25917.3737217928,8036.12402676845,1714.73262666282,0.793324592258319,0.0220461675701963
"12","2009-05-03",0.0254,16.67,2.78,"2009-05-03",16.67,2.78,0.0254,0.0254,0,0,0,0,0,0,0.25,25665.0637106037,19529.057157614,25222.8436266084,25917.3737217928,5628.47001514751,1028.02917002658,0.80387031595464,0.181345043629645
"13","2009-05-04",0,18.33,5.56,"2009-05-04",18.33,5.56,0,0,0,0,0,0,0,0,0.25,29649.0163416293,19481.1310639086,26787.6121370126,25917.3737217928,6913.32383865676,2211.32302384417,0.827471378703033,0.258045293507752
"14","2009-05-05",0,15.56,2.78,"2009-05-05",15.56,2.78,0,0,0,0,0,0,0,0,0.25,25586.5337130211,19578.3076726413,25417.3140328758,25917.3737217928,5307.2565592702,1028.02917002658,0.816453538914876,0.257280838061053
"15","2009-05-06",5.08,15,6.11,"2009-05-06",15,6.11,5.08,5.08,0,0,0,0,0,0,0.25,29548.9947728024,18052.2105623824,28441.6490899176,25917.3737217928,6108.84329150457,2465.46407079066,0.89590037930042,0.645077929367369
"16","2009-05-07",4.064,17.22,10,"2009-05-07",17.22,10,4.064,4.064,0,0,0,0,0,0,0.25,34313.6224828709,16378.5211911014,31098.5011285402,25917.3737217928,7876.9642062887,4471.70331073341,0.938529345753134,0.845209144975423
