"","Date","rain_snowmelt","modeled_flow","baseflow","OverlandFlow","ShallowInterflow","totQ","deltaP","Pe","Se","Ia","SoilWater","quickflow_combined","impervRunoff","excess","Tmax","Tmin","ET","MaxWetClass"
"1",2009-04-22,4.318,0,0,0,0,0,2.78908753899259,0,361.5105,18.075525,169.845,0,2.53908753899259,0,17.78,3.89,1.52891246100741,0
"2",2009-04-23,3.302,0.9,0.9,0,0,0,2.49668058687188,0,361.5105,18.075525,172.341680586872,0,2.24668058687188,0,10.56,1.67,0.805319413128117,0
"3",2009-04-24,0.254,0.81,0.81,0,0,0,-0.854726564544799,0,353.770790180697,17.6885395090349,171.778862547525,0,0,0,10,-2.22,0.562818039347083,0
"4",2009-04-25,0,0.729,0.729,0,0,0,-1.85364807420769,0,355.515526102673,17.7757763051337,170.564584685954,0,0,0,24.44,-1.11,1.2142778615706,0
"5",2009-04-26,0,0.6561,0.6561,0,0,0,-2,0,359.279787473542,17.9639893736771,169.264060437651,0,0,0,30.56,11.11,1.30052424830335,0
"6",2009-04-27,0,0.59049,0.59049,0,0,0,-2,0,363.311412643282,18.1655706321641,167.973452452583,0,0,0,28.33,10,1.2906079850677,0
"7",2009-04-28,0,0.531441,0.531441,0,0,0,-2,0,367.312297396992,18.3656148698496,166.692685121029,0,0,0,32.78,14.44,1.28076733155381,0
"8",2009-04-29,2.032,0.4782969,0.4782969,0,0,0,0.032,0,371.282676124809,18.5641338062405,166.724685121029,0,0,0,28.89,1.67,2,0
"9",2009-04-30,0,0.43046721,0.43046721,0,0,0,-1.68415049247457,0,371.183476124809,18.5591738062405,165.653554165113,0,0,0,17.78,2.78,1.07113095591604,0
"10",2009-05-01,1.778,0.387420489,0.387420489,0,0,0,1.0764038048182,0,374.503982088149,18.7251991044074,166.729957969932,0,0.826403804818197,0,17.22,10.56,0.701596195181803,0
"11",2009-05-02,10.668,0.3486784401,0.3486784401,0,0,0,8.618,0,371.167130293212,18.5583565146606,175.347957969932,0,8.368,0,23.33,4.44,2.05,0
"12",2009-05-03,0.0254,0.31381059609,0.31381059609,0,0,0,-1.66657467318822,0,344.451330293212,17.2225665146606,174.233145420819,0,0,0,16.67,2.78,1.114812549113,0
"13",2009-05-04,0,0.282429536481,0.282429536481,0,0,0,-1.74096305249417,0,347.907249195463,17.3953624597731,173.076141212938,0,0,0,18.33,5.56,1.15700420788085,0
"14",2009-05-05,0,0.2541865828329,0.2541865828329,0,0,0,-1.65166317746889,0,351.493962239893,17.5746981119947,171.985586578094,0,0,0,15.56,2.78,1.0905546348432,0
"15",2009-05-06,5.08,0.22876792454961,0.22876792454961,0,0,0,3.9338194840613,0,354.874681607907,17.7437340803954,175.919406062156,0,3.6838194840613,0,15,6.11,1.1461805159387,0
"16",2009-05-07,4.064,0.205891132094649,0.205891132094649,0,0,0,3.14049718548716,0,342.679841207317,17.1339920603659,179.059903247643,0,2.89049718548716,0,17.22,10,0.923502814512836,0
"17",2009-05-08,0.254,0.185302018885184,0.185302018885184,0,0,0,-0.652937036338466,0,332.944299932307,16.6472149966153,178.613026513584,0,0,0,16.67,9.44,0.44687673405868,0
"18",2009-05-09,2.794,0.166771816996666,0.166771816996666,0,0,0,0.665888415495421,0,334.329617807889,16.7164808903944,179.27891492908,0,0.415888415495421,0,23.33,11.11,2.12811158450458,0
"19",2009-05-10,0.254,0.150094635296999,0.150094635296999,0,0,0,-2.196,0,332.265363719853,16.6132681859926,177.778544538746,0,0,0,23.89,8.33,1.50037039033367,0
"20",2009-05-11,0,0.135085171767299,0.135085171767299,0,0,0,-1.21816281970398,0,336.916511929887,16.8458255964944,176.951681947268,0,0,0,11.11,1.67,0.826862591477904,0
"21",2009-05-12,0,0.121576654590569,0.121576654590569,0,0,0,-2.15937956471283,0,339.479785963469,16.9739892981734,175.495381421082,0,0,0,15,-1.67,1.45630052618646,0
"22",2009-05-13,0,0.109418989131512,0.109418989131512,0,0,0,-2.39636374043302,0,343.994317594647,17.1997158797323,173.893283335809,0,0,0,17.22,-0.56,1.60209808527226,0
"23",2009-05-14,2.794,0.0984770902183611,0.0984770902183611,0,0,0,0.144,0,348.960821658991,17.4480410829495,174.037283335809,0,0,0,21.11,2.22,2.65,0
"24",2009-05-15,2.54,0.088629381196525,0.088629381196525,0,0,0,-0.090540315706451,0,348.514421658991,17.4257210829495,173.976989952995,0,0,0,18.89,4.44,0.0602933828141365,0
"25",2009-05-16,0.254,0.0797664430768725,0.0797664430768725,0,0,0,-2.496,0,348.701331145715,17.4350665572857,172.323032273882,0,0,0,21.67,6.67,1.65395767911369,0
"26",2009-05-17,22.606,0.0848394772963179,0.0717897987691853,0.0130496785271327,0,0.0160118754934143,19.806,2.37093344271427,353.828599950967,17.6914299975484,192.113020398388,0.0130496785271327,19.556,0,25,5,2.8,1
"27",2009-05-18,0,0.0671086714692394,0.0646108188922667,0,0.00249785257697263,0,-2.03849734956762,0,292.479636764997,14.6239818382498,190.620107063251,0.00249785257697263,0,0,12.22,0.56,1.49291333513737,1
"28",2009-05-19,0,0.0585500338903754,0.0581497370030401,0,0.000400296887335358,0,-2.45587381598532,0,297.107668103922,14.8553834051961,188.836923508358,0.000400296887335358,0,0,13.33,-2.22,1.78318355489314,1
"29",2009-05-20,0,0.0523347633027361,0.0523347633027361,0,0,0,-2.95,0,302.635537124091,15.1317768562046,186.716999464005,0,0,0,23.33,4.44,2.11992404435305,0
"30",2009-05-21,0,0.0471012869724624,0.0471012869724624,0,0,0,-3,0,309.207301661586,15.4603650830793,184.585550146717,0,0,0,28.33,7.22,2.13144931728719,0
"31",2009-05-22,0,0.0423911582752162,0.0423911582752162,0,0,0,-3.05,0,315.814794545176,15.7907397272588,182.443518098333,0,0,0,30.56,11.67,2.14203204838411,0
"32",2009-05-23,0,0.0381520424476946,0.0381520424476946,0,0,0,-3.1,0,322.455093895167,16.1227546947583,180.291841051913,0,0,0,25.56,7.22,2.15167704641997,0
"33",2009-05-24,5.588,0.0343368382029251,0.0343368382029251,0,0,0,2.438,0,329.125292739069,16.4562646369534,182.729841051913,0,2.188,0,27.78,12.22,3.15,0
"34",2009-05-25,0,0.0309031543826326,0.0309031543826326,0,0,0,-3.2,0,321.567492739069,16.0783746369534,180.50569412176,0,0,0,23.33,8.33,2.22414693015303,0
"35",2009-05-26,0,0.0278128389443694,0.0278128389443694,0,0,0,-3.25,0,328.462348222543,16.4231174111271,178.274502755468,0,0,0,20.56,0,2.231191366292,0
"36",2009-05-27,11.176,0.0250315550499324,0.0250315550499324,0,0,0,7.876,0,335.379041458048,16.7689520729024,186.150502755468,0,7.626,0,19.44,3.33,3.3,0
"37",2009-05-28,2.286,0.0225283995449392,0.0225283995449392,0,0,0,-0.195274242204447,0,310.963441458048,15.5481720729024,186.011441067418,0,0,0,20,10.56,0.139061688050309,0
"38",2009-05-29,21.336,0.0686401995640712,0.0202755595904453,0.048364639973626,0,0.0593431165320564,19.8737044465376,4.32553237363519,311.394532691004,15.5697266345502,205.825802397424,0.048364639973626,19.6237044465376,0,22.22,16.11,1.46229555346241,1
"39",2009-05-30,2.794,0.0275055298104015,0.0182480036314007,0,0.0092575261790008,0,0.0389923089303656,0,249.970012567987,12.4985006283993,205.864794706354,0.0092575261790008,0,0,19.44,9.44,2.75500769106963,1
"40",2009-05-31,1.016,0.0179067811815621,0.0164232032682607,0,0.00148357791330141,0,-2.15254394727403,0,249.849136410303,12.4924568205151,204.175882371476,0.00148357791330141,0,0,20,8.89,1.68891233487792,1
"41",2009-06-01,0,0.0147808829414346,0.0147808829414346,0,0,0,-3.46202584905623,0,255.084764648424,12.7542382324212,201.488549411979,0,0,0,16.67,1.11,2.68733295949718,0
"42",2009-06-02,0.0254,0.0133027946472911,0.0133027946472911,0,0,0,-3.4746,0,263.415496822866,13.1707748411433,198.827018647113,0,0,0,18.33,4.44,2.66153076486554,0
"43",2009-06-03,0,0.011972515182562,0.011972515182562,0,0,0,-3.03482893783236,0,271.666242193949,13.5833121096974,196.531131035004,0,0,0,18.89,8.33,2.29588761210965,0
"44",2009-06-04,0,0.0107752636643058,0.0107752636643058,0,0,0,-3.5,0,278.783493791489,13.9391746895744,193.91623370405,0,0,0,17.78,3.89,2.61489733095355,0
"45",2009-06-05,0,0.00969773729787524,0.00969773729787524,0,0,0,-3.5,0,286.889675517445,14.3444837758722,191.336128255764,0,0,0,20,6.11,2.58010544828632,0
"46",2009-06-06,1.778,0.00872796356808772,0.00872796356808772,0,0,0,-1.722,0,294.888002407132,14.7444001203566,190.079344735948,0,0,0,19.44,7.78,1.25678351981539,0
"47",2009-06-07,0.254,0.00785516721127895,0.00785516721127895,0,0,0,-3.246,0,298.78403131856,14.939201565928,187.732689374502,0,0,0,25.56,8.89,2.34665536144651,0
"48",2009-06-08,0.254,0.00706965049015105,0.00706965049015105,0,0,0,-3.246,0,306.058662939044,15.3029331469522,185.415005027202,0,0,0,22.22,10.56,2.31768434729947,0
"49",2009-06-09,8.128,0.00636268544113595,0.00636268544113595,0,0,0,4.628,0,313.243484415673,15.6621742207836,190.043005027202,0,4.378,0,22.78,11.11,3.5,0
"50",2009-06-10,0,0.00572641689702235,0.00572641689702235,0,0,0,-3.5,0,298.896684415673,14.9448342207836,187.514433884326,0,0,0,28.89,10,2.52857114287667,0
"51",2009-06-11,0,0.00515377520732012,0.00515377520732012,0,0,0,-3.5,0,306.73525495859,15.3367627479295,185.019506031944,0,0,0,22.78,12.22,2.49492785238212,0
"52",2009-06-12,26.416,0.180402758729372,0.0046383976865881,0.175764361042784,0,0.215661792690533,23.5786395298082,8.24187678187873,314.469531300975,15.7234765650487,208.382483769061,0.175764361042784,23.3286395298082,0,23.89,16.11,2.83736047019176,1
"53",2009-06-13,0.762,0.0378177975776524,0.00417455791792929,0,0.0336432396597231,0,-2.738,0,242.04430031591,12.1022150157955,206.210373442178,0.0336432396597231,0,0,22.22,9.44,2.17211032688339,1
"54",2009-06-14,1.778,0.00914864694339969,0.00375710212613637,0,0.00539154481726332,0,-1.722,0,248.777842329248,12.4388921164624,204.855889052222,0.00539154481726332,0,0,23.89,9.44,1.35448438995629,1
"55",2009-06-15,0,0.00338139191352273,0.00338139191352273,0,0,0,-3.5,0,252.976743938113,12.6488371969056,202.130228671132,0,0,0,23.89,9.44,2.72566038108926,0
