"","DS","Pmm","TxC","TnC","Date","MaxT_C","MinT_C","Precip_mm","Rain_mm","SnowfallWatEq_mm","SnowMelt_mm","NewSnow_m","SnowDepth_m","SnowWaterEq_mm","SnowTemp","Albedo","NetEnergy","S","La","Lt","H","E","AE","cloudiness"
"1",2006-10-01,0.762,12.7777777777778,6.11111111111111,2006-10-01,12.7777777777778,6.11111111111111,0.762,0.762,0,0,0,0,0,0,0.25,19314.3408252537,9348.00962593208,27748.3995763705,25917.3737217928,5466.09484475908,2465.98449998478,0.887876904226444,0.617054289145354
"2",2006-10-02,0.254,17.7777777777778,5,2006-10-02,17.7777777777778,5,0.254,0.254,0,0,0,0,0,0,0.25,19777.1526222151,11741.7757936848,25216.5616765753,25917.3737217928,6591.46731279771,1959.5718942834,0.785045702737206,0.0432374575311975
"3",2006-10-03,0,18.3333333333333,6.11111111111111,2006-10-03,18.3333333333333,6.11111111111111,0,0,0,0,0,0,0,0,0.25,21081.5248946856,11537.7590383593,25748.3852790343,25917.3737217928,7073.76979909998,2465.98449998478,0.792285083600431,0.060772149144237
"4",2006-10-04,3.81,20,9.44444444444444,2006-10-04,20,9.44444444444444,3.81,3.81,0,0,0,0,0,0,0.25,25840.9678015211,11091.4207323157,27576.0769395614,25917.3737217928,8520.6772580068,4161.58159343005,0.81944467164352,0.149011116318451
"5",2006-10-05,13.462,18.8888888888889,6.11111111111111,2006-10-05,18.8888888888889,6.11111111111111,13.462,13.462,0,0,0,0,0,0,0.25,21776.1672151395,11326.0513078531,25787.2128345603,25917.3737217928,7234.53729453407,2465.98449998478,0.79039948349095,0.0432374575311975
"6",2006-10-06,0,12.7777777777778,1.11111111111111,2006-10-06,12.7777777777778,1.11111111111111,0,0,0,0,0,0,0,0,0.25,12999.1007727649,11047.3208592947,23283.5517390129,25917.3737217928,4019.18738585226,393.41451039787,0.771955601248319,0.0836436451679193
"7",2006-10-07,0,14.4444444444444,-1.66666666666667,2006-10-07,14.4444444444444,-1.66666666666667,0,0,0,0,0,0,0,0,0.25,11100.0194916365,11173.2512135988,22522.7161402745,25917.3737217928,3697.65239498408,-549.226535428016,0.752681167132315,0.00353570318926888
"8",2006-10-08,0,16.6666666666667,0.555555555555556,2006-10-08,16.6666666666667,0.555555555555556,0,0,0,0,0,0,0,0,0.25,14059.1174415258,11036.5568012684,23589.2499125157,25917.3737217928,4983.79235845681,193.892091077625,0.763759278346993,0.00353570318926888
"9",2006-10-09,0,23.3333333333333,3.88888888888889,2006-10-09,23.3333333333333,3.88888888888889,0,0,0,0,0,0,0,0,0.25,20456.6128183451,10729.3693412813,26113.6374376917,25917.3737217928,7877.60727627044,1480.37248489439,0.788077705380199,0.000124413918611843
"10",2006-10-10,0,23.3333333333333,5.55555555555556,2006-10-10,23.3333333333333,5.55555555555556,0,0,0,0,0,0,0,0,0.25,22098.3594510136,10711.9108869782,26561.615158574,25917.3737217928,8359.90976257271,2209.2973646815,0.792351403549981,0.000740152756449675
"11",2006-10-11,0,17.7777777777778,7.22222222222222,2006-10-11,17.7777777777778,7.22222222222222,0,0,0,0,0,0,0,0,0.25,21085.0263847087,10176.2716580024,26417.6964885432,25917.3737217928,7234.53729453407,3000.8946654219,0.809724330951381,0.149011116318451
"12",2006-10-12,3.302,16.6666666666667,11.6666666666667,2006-10-12,16.6666666666667,11.6666666666667,3.302,3.302,0,0,0,0,0,0,0.25,25999.7054804486,6339.18080252733,31556.4177025661,25917.3737217928,8199.14226713862,5452.86943000936,0.944993593879456,0.877406149949477
"13",2006-10-13,0.254,15,-2.22222222222222,2006-10-13,15,-2.22222222222222,0.254,0.254,0,0,0,0,0,0,0.25,10087.367058959,10340.5578710421,22508.6317301804,25917.3737217928,3697.65239498408,-721.916882121488,0.752210483660483,0.00127678395155151
"14",2006-10-14,0,10,-1.11111111111111,2006-10-14,10,-1.11111111111111,0,0,0,0,0,0,0,0,0.25,8675.81075224174,9910.1908302599,22309.1423530215,25917.3737217928,2572.27992694545,-371.42863619231,0.766641795907449,0.112775124777834
"15",2006-10-15,0,10,1.11111111111111,2006-10-15,10,1.11111111111111,0,0,0,0,0,0,0,0,0.25,11067.4540991643,9177.04799835315,24026.0154035243,25917.3737217928,3215.34990868181,393.41451039787,0.812560463397152,0.305771014565956
"16",2006-10-16,0,10,-3.33333333333333,2006-10-16,10,-3.33333333333333,0,0,0,0,0,0,0,0,0.25,6356.81811436487,9916.75018621127,21307.7020503633,25917.3737217928,1929.20994520909,-1052.470345626,0.744063013387215,0.0334373721543755
"17",2006-10-17,0.254,15.5555555555556,2.22222222222222,2006-10-17,15.5555555555556,2.22222222222222,0.254,0.254,0,0,0,0,0,0,0.25,13937.120586008,9791.33269776272,23926.2177551569,25917.3737217928,5144.5598538909,809.901334323669,0.771623691919442,0.0362832588022129
"18",2006-10-18,10.668,15.5555555555556,8.33333333333333,2006-10-18,15.5555555555556,8.33333333333333,10.668,10.668,0,0,0,0,0,0,0.25,21804.390798302,7978.9509559346,28555.9994413115,25917.3737217928,6913.00230366589,3565.63381918279,0.882103869265057,0.553314612013161
"19",2006-10-19,0,13.8888888888889,10.5555555555556,2006-10-19,13.8888888888889,10.5555555555556,0,0,0,0,0,0,0,0,0.25,20882.8064444707,3402.53735609475,31360.7060415886,25917.3737217928,7073.76979909998,4790.16696948016,0.964977777777778,1
"20",2006-10-20,30.988,21.1111111111111,6.66666666666667,2006-10-20,21.1111111111111,6.66666666666667,30.988,30.988,0,0,0,0,0,0,0.25,22657.3287467639,9473.00915529849,26352.8899183765,25917.3737217928,8038.37477170453,2729.79528984384,0.792225569220292,0.0157244144883947
"21",2006-10-21,20.828,7.22222222222222,2.77777777777778,2006-10-21,7.22222222222222,2.77777777777778,20.828,20.828,0,0,0,0,0,0,0.25,11433.2075075942,4941.81474093115,27877.4157277905,25917.3737217928,2893.81491781363,1027.14784285162,0.950365860925684,0.958757520661457
"22",2006-10-22,0,9.44444444444444,3.33333333333333,2006-10-22,9.44444444444444,3.33333333333333,0,0,0,0,0,0,0,0,0.25,12736.9362083807,6738.93892074271,26794.1296582449,25917.3737217928,3697.65239498408,1250.58895620172,0.895426495537079,0.688603668657661
